comment_id,komentar,normalized_text,clean_text,token_count
12,"NAMANYA JUGAK PERANG POLITIK,LAWAN POLITIK YANG LEBIH BERKUASA AKAN BISA MENEKAN LAWANNYA DENGAN MUDAH",namanya jugak perang politik lawan politik yang lebih berkuasa akan bisa menekan lawannya dengan mudah,nama jugak perang politik lawan politik lebih kuasa tekan lawan mudah,11
13,"pengadilan akhirat pasti ada, tunggu aja jokowi",pengadilan akhirat pasti ada tunggu aja jokowi,adil akhirat tunggu jokowi,4
14,"Minta sama Mak Banteng ,,karena bapak orang baik yang diperalat,,kuwalat orang2 yang memperalat bapak",minta sama mak banteng karena bapak orang baik yang diperalat kuwalat orang yang memperalat bapak,minta sama mak banteng bapak orang baik alat walat orang alat bapak,12
15,"Saya sebagai orang awam biasa berfikir sederhana begini ya ""mana mungkin orang yg punya aplikasi sebesar Gojek bisa korupsi milyaran. Pasti yg dibawah nya yg ngabisin Pak Nadiem yg kena getah nya😢",saya sebagai orang awam biasa berfikir sederhana begini ya mana mungkin orang yg punya aplikasi sebesar gojek bisa korupsi milyaran pasti yg dibawah nya yg ngabisin pak nadiem yg kena getah nya,orang awam biasa berfikir sederhana begini mana mungkin orang punya aplikasi besar gojek korupsi milyaran bawah ngabisin pak nadiem kena getah,21
16,Alloohu akbar ..... Tunjukkan keadilanMu di bumi negriku tercinta yaa Alloh,alloohu akbar tunjukkan keadilanmu di bumi negriku tercinta yaa alloh,alloohu akbar tunjuk adil bumi negriku cinta yaa alloh,9
17,"Knp harus korupsi pak ??

Ga mungkin deh pak kalau ga punya 809 M .. 
Omset bapa dr gojek aja sudah pastantis
Selama jadi mentri berapa T apbn di kelola pak yang di jadikan proyek , 

Dan g mungkin kontraktor tersebut bener bener 100 persen orang lain tidak ada sey hello dengan bapa",knp harus korupsi pak ga mungkin deh pak kalau ga punya m omset bapa dr gojek aja sudah pastantis selama jadi mentri berapa t apbn di kelola pak yang di jadikan proyek dan g mungkin kontraktor tersebut bener bener persen orang lain tidak ada sey hello dengan bapa,knp korupsi pak mungkin pak kalau punya omset bapa gojek pastantis lama jadi tri berapa apbn kelola pak jadi proyek mungkin kontraktor sebut bener bener persen orang sey hello bapa,30
18,Tangkap hakimnya,tangkap hakimnya,tangkap hakim,2
19,"Kirain akn lbih baik negara ini, mlah smkin hncur",kirain akn lbih baik negara ini mlah smkin hncur,kirain akn lbih baik negara mlah smkin hncur,8
20,"Semoga akhirnya spt nabi yusuf,dihukum krn bukan salah.",semoga akhirnya spt nabi yusuf dihukum krn bukan salah,moga akhir spt nabi yusuf hukum bukan salah,8
21,"Duit Anggaran pak Nadim harus tau , duitnya di pake apa atau di pake siapa klo tidak bisa menjelaskan ya repot pak",duit anggaran pak nadim harus tau duitnya di pake apa atau di pake siapa klo tidak bisa menjelaskan ya repot pak,duit anggar pak nadim tahu duit pake apa pake siapa klo jelas repot pak,14
22,Para HAKIM DZOLIM PASTI DILAKNAT ALLOH DIDUNIA DAN AKHIRAT ITU PASTI,para hakim dzolim pasti dilaknat alloh didunia dan akhirat itu pasti,hakim dzolim laknat alloh dunia akhirat,6
23,Lalu bagaimana kabar Dadang sekarang,lalu bagaimana kabar dadang sekarang,lalu bagaimana kabar dadang sekarang,5
24,Lalu bagaimana kabar Dadang sekarang,lalu bagaimana kabar dadang sekarang,lalu bagaimana kabar dadang sekarang,5
25,Kasian deh 😂😅😅,kasian deh,kasi,1
26,saya yakin bpk nadim itu difitnah,saya yakin bpk nadim itu difitnah,yakin bapak nadim fitnah,4
27,Yuk rakyat bangunnnn,yuk rakyat bangunnnn,yuk rakyat bangunn,3
28,Makannya jangan korupsi bang,makannya jangan korupsi bang,makan jangan korupsi bang,4
29,"Jgn terlalu prcya dgn omongan orang ini,toh persidangan terbukti transaksi melalui anak usaha Google melalui Inventasi",jgn terlalu prcya dgn omongan orang ini toh persidangan terbukti transaksi melalui anak usaha google melalui inventasi,jgn terlalu prcya omong orang sidang bukti transaksi lalu anak usaha google lalu inventasi,14
30,"Korban keganasan Jokowi..., Yaqut nyebut Jokowi, dan banyak koruptor yg tertangkap mentangkutkn Jokowi tapi K Oooo K tidak punya nyali nangkap Jokowi",korban keganasan jokowi yaqut nyebut jokowi dan banyak koruptor yg tertangkap mentangkutkn jokowi tapi k oooo k tidak punya nyali nangkap jokowi,korban ganas jokowi yaqut nyebut jokowi banyak koruptor tangkap mentangkutkn jokowi punya nyali nangkap jokowi,15
31,Dijadikan menteri ternyata menjadi suatu musibah..,dijadikan menteri ternyata menjadi suatu musibah,jadi menteri nyata jadi suatu musibah,6
32,Ini pasti sudah akal2lan jokowi dan wowo semua ini kalau orang benar trus pasti akan di singkirkan mereka takut nanti buat manen hasil2 besar takut ada yg ngintip dari belakng,ini pasti sudah akal lan jokowi dan wowo semua ini kalau orang benar trus pasti akan di singkirkan mereka takut nanti buat manen hasil besar takut ada yg ngintip dari belakng,akal lan jokowi wowo semua kalau orang benar trus singkir takut buat manen hasil besar takut ngintip belakng,18
33,Baklawi gembong korupsi,baklawi gembong korupsi,baklawi gembong korupsi,3
34,"Semua yang terlibat membuat sekenario menjijikkan ini, beserta seluruh keluarganya akan mendapatkan azab yang lebih menyedihkan dari Allah SWT. Aamiin.",semua yang terlibat membuat sekenario menjijikkan ini beserta seluruh keluarganya akan mendapatkan azab yang lebih menyedihkan dari allah swt aamiin,semua libat buat sekenario jijik seluruh keluarga azab lebih sedih allah swt aamiin,13
35,Ngeri dengan hukum di indonesia,ngeri dengan hukum di indonesia,ngeri hukum indonesia,3
36,"Sabar pak,dunia hanya sesaat di akhirat bpk bisa menuntut balik karena keadilan akhirat itu pasti",sabar pak dunia hanya sesaat di akhirat bpk bisa menuntut balik karena keadilan akhirat itu pasti,sabar pak dunia akhirat bapak tuntut balik adil akhirat,9
37,Kasihan Nadiem..dia korban dari Jokowi..kesalahan Nadiem kenapa dia mau menjadi menteri..,kasihan nadiem dia korban dari jokowi kesalahan nadiem kenapa dia mau menjadi menteri,kasihan nadiem korban jokowi salah nadiem mau jadi menteri,9
38,"Semua orang muslim yg ada di muka bumi ini percaya dan meyakini ada waktu pembalasan yg sangat adil dan rinci di mana tidak akan bisa di tutupi walau hanya sebutir pasir besarnya,ada waktunya hari pembalasan di mana mahluk yg di zdolimi akan menjadi saksi sari ujung rambut hingga ujung kaki kecuali mulut akan allah tutup dan percayalah hari pembalasan akan pasti tiba untuk mempertanggung jawabkan dalam qta berada di dunia dari awal qta lahir sampai menutup usia. . .
Allah SWT akan adil dan akan slalu adil maha suci allah dengan segala firmannya",semua orang muslim yg ada di muka bumi ini percaya dan meyakini ada waktu pembalasan yg sangat adil dan rinci di mana tidak akan bisa di tutupi walau hanya sebutir pasir besarnya ada waktunya hari pembalasan di mana mahluk yg di zdolimi akan menjadi saksi sari ujung rambut hingga ujung kaki kecuali mulut akan allah tutup dan percayalah hari pembalasan akan pasti tiba untuk mempertanggung jawabkan dalam qta berada di dunia dari awal qta lahir sampai menutup usia allah swt akan adil dan akan slalu adil maha suci allah dengan segala firmannya,semua orang muslim muka bumi percaya yakin waktu balas sangat adil rinci mana tutup butir pasir besar waktu hari balas mana mahluk zdolimi jadi saksi sari ujung rambut hingga ujung kaki mulut allah tutup percaya hari balas tiba tanggung jawab qta dunia awal qta lahir tutup usia allah swt adil slalu adil maha suci allah segala firman,57
39,"Hukum buatan manusia tak mungkin melahirkan keadilan. Terapkan hukum buatan Allah, buahkan maslahat bg umat manusia",hukum buatan manusia tak mungkin melahirkan keadilan terapkan hukum buatan allah buahkan maslahat bg umat manusia,hukum buat manusia tak mungkin lahir adil terap hukum buat allah buah maslahat umat manusia,15
40,"Kita punya Tuhan Pak, berdoa saja. Jika Bapak memang tak bersalah, siapapun yang menjerat Bapak tak akan lepas dari pengadilan Tuhan. Percayalah Pak, jika kita baik dan tak salah, Tuhan juga tak akan melepaskan siapapun yang menjahati orang baik dengan sengaja. Semua  manusia akan mati pada waktunya, akan ada pertanggung jawaban akhirat yang tak akan selesai walaupun tiap hari mereka minta ampun siang malam. Karena siapapun  yang  sengaja menjerat orang  baik yang tak bersalah, mereka sesungguhnya sedang mempermainkan Tuhan. Yang sabar ya Pak, tetaplah yakin dan berdoa, Tuhan akan memuaskanmu dengan keadilanNya pada waktuNya.",kita punya tuhan pak berdoa saja jika bapak memang tak bersalah siapapun yang menjerat bapak tak akan lepas dari pengadilan tuhan percayalah pak jika kita baik dan tak salah tuhan juga tak akan melepaskan siapapun yang menjahati orang baik dengan sengaja semua manusia akan mati pada waktunya akan ada pertanggung jawaban akhirat yang tak akan selesai walaupun tiap hari mereka minta ampun siang malam karena siapapun yang sengaja menjerat orang baik yang tak bersalah mereka sesungguhnya sedang mempermainkan tuhan yang sabar ya pak tetaplah yakin dan berdoa tuhan akan memuaskanmu dengan keadilannya pada waktunya,punya tuhan pak doa bapak memang tak salah siapa jerat bapak tak lepas adil tuhan percaya pak baik tak salah tuhan tak lepas siapa jahat orang baik sengaja semua manusia mati waktu tanggung jawab akhirat tak selesai walaupun tiap hari minta ampun siang malam siapa sengaja jerat orang baik tak salah sungguh sedang main tuhan sabar pak tetap yakin doa tuhan muas adil waktu,64
41,Ya Allah,ya allah,allah,1
42,Baru tau kan lu Jokowi itu tukang ngibul😂,baru tau kan lu jokowi itu tukang ngibul,baru tahu kan jokowi tukang ngibul,6
43,"Hakim zolim sabar ya pak nadim allah bersama bpk nadim, insaallah pak nadim akan bebas.",hakim zolim sabar ya pak nadim allah bersama bpk nadim insaallah pak nadim akan bebas,hakim zolim sabar pak nadim allah sama bapak nadim insaallah pak nadim bebas,13
44,"Makanya pak seharusnya anda jgn jadi pejabat yg jujur . Akhirnya gimana kan??
Anda dijadikan kambing hitam pak
Sungguh ironi",makanya pak seharusnya anda jgn jadi pejabat yg jujur akhirnya gimana kan anda dijadikan kambing hitam pak sungguh ironi,makanya pak jgn jadi jabat jujur akhir gimana kan jadi kambing hitam pak sungguh ironi,15
45,Ngapain jadi pejabat mending tolak klw ujung nya menyakitkan,ngapain jadi pejabat mending tolak klw ujung nya menyakitkan,ngapain jadi jabat mending tolak klw ujung sakit,8
46,Hukum sdh mandul tinggal rakyat yg menegakkan hukum,hukum sdh mandul tinggal rakyat yg menegakkan hukum,hukum mandul tinggal rakyat tegak hukum,6
47,Sungguh mengerikan hukum dinegri ini. Smg jaksa dan hakimnya dapat karma.,sungguh mengerikan hukum dinegri ini smg jaksa dan hakimnya dapat karma,sungguh keri hukum dinegri smg jaksa hakim karma,8
48,"Orang pintar, punya niat Ingin merubah dan memperbaiki negri ini!
 Lebih baik skip aja dah! Percuma! Negara udah bobrok! Rakyat di paksa bodoh! Hasilnya yg punya niat baik bakalan di bungkam! Penjara atau MATI! Cuma itu pilihanya!",orang pintar punya niat ingin merubah dan memperbaiki negri ini lebih baik skip aja dah percuma negara udah bobrok rakyat di paksa bodoh hasilnya yg punya niat baik bakalan di bungkam penjara atau mati cuma itu pilihanya,orang pintar punya niat rubah baik negri lebih baik skip dah percuma negara udah bobrok rakyat paksa bodoh hasil punya niat baik bakal bungkam penjara mati cuma pilihanya,28
49,Korban jokowi,korban jokowi,korban jokowi,2
50,"Jgn nangis dong.. Kenape lo mau aje jd mentri.. Ga mikir panjang sih lu,,.",jgn nangis dong kenape lo mau aje jd mentri ga mikir panjang sih lu,jgn nang kenape mau aje jadi tri mikir panjang,9
51,Uang negara yang hilang bukan dikorupsi sama Pak Nadiem tetapi sama tuyul dan genderuwo 💀,uang negara yang hilang bukan dikorupsi sama pak nadiem tetapi sama tuyul dan genderuwo,uang negara hilang bukan korupsi sama pak nadiem sama tuyul genderuwo,11
52,Haqul Yaqin Allah pasti menolong mu pak Nadiem 🤲🤲🤲,haqul yaqin allah pasti menolong mu pak nadiem,haqul yaqin allah pak nadiem,5
53,"mas nadiem daya yakin tidak korupsi, hanya sial aja  ngasih spek laptopnya harus pakai chroom book. ini kan masalah yang membuat kompetitor murka. dan kompetitor ini kalau cuman 100 m per jaksa atau hakim itu kecil. itulah resiko",mas nadiem daya yakin tidak korupsi hanya sial aja ngasih spek laptopnya harus pakai chroom book ini kan masalah yang membuat kompetitor murka dan kompetitor ini kalau cuman m per jaksa atau hakim itu kecil itulah resiko,mas nadiem daya yakin korupsi sial ngasih spek laptop pakai chroom book kan masalah buat kompetitor murka kompetitor kalau cuman per jaksa hakim kecil resiko,25
54,"carut marut, siap"" skenario selanjutnya",carut marut siap skenario selanjutnya,carut marut siap skenario lanjut,5
55,"Yg nyuruh, sijack plh gk pernah diperiksa",yg nyuruh sijack plh gk pernah diperiksa,nyuruh sijack plh pernah periksa,5
56,Mulyono dan keluarganya pasti senyam senyum.... 11 ribu T gitu loh....😅,mulyono dan keluarganya pasti senyam senyum ribu t gitu loh,mulyono keluarga senyam senyum ribu gitu loh,7
57,"Nadiem bukan orang politik, tapi beliau mau menerima tawaran Mentri, mau tidak mau beliau ada dalam lingkaran politik, begitulah pola politik negeri konoha",nadiem bukan orang politik tapi beliau mau menerima tawaran mentri mau tidak mau beliau ada dalam lingkaran politik begitulah pola politik negeri konoha,nadiem bukan orang politik beliau mau terima tawar tri mau mau beliau lingkar politik pola politik negeri konoha,18
58,Seharusnya mulyono jokowi yg di vonis penjara karena ulah dia semua biang kerok permasalahan di negeri ini,seharusnya mulyono jokowi yg di vonis penjara karena ulah dia semua biang kerok permasalahan di negeri ini,mulyono jokowi vonis penjara ulah semua biang kerok masalah negeri,10
59,"Semangat pak Nadin, semoga hukum Tuhan  akan menghukum siapa pun yg zolim",semangat pak nadin semoga hukum tuhan akan menghukum siapa pun yg zolim,semangat pak nadin moga hukum tuhan hukum siapa zolim,9
60,"Rp,809 miliar Banyak Banget, pak",rp miliar banyak banget pak,miliar banyak pak,3
61,"Sedangkan yg memberikan arah kebijakan msih brkeliaran main raja""an..KNPA GK di seret ke pengadilan utk di mintak kterangan KLO bisa di skalian di vonis",sedangkan yg memberikan arah kebijakan msih brkeliaran main raja an knpa gk di seret ke pengadilan utk di mintak kterangan klo bisa di skalian di vonis,beri arah bijak msih brkeliaran main raja knpa seret adil mintak kterangan klo skalian vonis,15
62,"Kasus nya makarim apa ? 

INDOSURYA YANG MERAMPOK UANG KORBAN 16,3 triliun dan serara keseluruhan dari 23 ribu nasabahnya total 106 triliun. 

Tapj Mahkamah Agung menjatuhkan vonis 18 tahun penjara dan denda hanya Rp15 miliar kepada pimpinan Koperasi Simpan Pinjam (KSP) Indosurya, Henry Surya, yang diduga merugikan 23 ribu orang, dengan total kerugian disebut mencapai Rp106 triliun


Dan saat ini uang dan aset yg masih ada blm jelas kapan akan di kembalikan kepada para korban.",kasus nya makarim apa indosurya yang merampok uang korban triliun dan serara keseluruhan dari ribu nasabahnya total triliun tapj mahkamah agung menjatuhkan vonis tahun penjara dan denda hanya rp miliar kepada pimpinan koperasi simpan pinjam ksp indosurya henry surya yang diduga merugikan ribu orang dengan total kerugian disebut mencapai rp triliun dan saat ini uang dan aset yg masih ada blm jelas kapan akan di kembalikan kepada para korban,kasus makarim apa indosurya rampok uang korban triliun serara seluruh ribu nasabah total triliun tapj mahkamah agung jatuh vonis tahun penjara denda miliar pimpin koperasi simpan pinjam ksp indosurya henry surya duga rugi ribu orang total rugi sebut capai triliun uang aset blm jelas kapan korban,46
63,Ngeri bro... Menanti nepalisasi Konoha... Cepat atau lambat...,ngeri bro menanti nepalisasi konoha cepat atau lambat,ngeri bro nepalisasi konoha cepat lambat,6
64,"Drama aja, lantas kalau tidak keluar dari pt akap goto lalu darimana keluarnya? Dan gmn caranya itu bisa menyentuh, dapatkan dan terima sama Nadiem?",drama aja lantas kalau tidak keluar dari pt akap goto lalu darimana keluarnya dan gmn caranya itu bisa menyentuh dapatkan dan terima sama nadiem,drama lantas kalau keluar akap goto lalu darimana keluar gmn cara sentuh terima sama nadiem,15
65,Jadi tumbal Jokowi 😂,jadi tumbal jokowi,jadi tumbal jokowi,3
66,Uang.nya kemana bang???,uang nya kemana bang,uang bang,2
67,tuntut harus berat biar kapok koruptor😂😂,tuntut harus berat biar kapok koruptor,tuntut berat biar kapok koruptor,5
68,"Begitu besar jasa Nadiem untuk Pendidikan Indonesia...itu jelas , tidak bisa dipungkiri... semoga hukum bicara lebih baik lebih adil.
Nadiem... semoga Allah SWT selalu melindungi & menolongmu.",begitu besar jasa nadiem untuk pendidikan indonesia itu jelas tidak bisa dipungkiri semoga hukum bicara lebih baik lebih adil nadiem semoga allah swt selalu melindungi menolongmu,besar jasa nadiem didik indonesia jelas dipungkiri moga hukum bicara lebih baik lebih adil nadiem moga allah swt selalu lindung,20
69,Di era anda pendidikan mundur se mundur2nya.,di era anda pendidikan mundur se mundur nya,era didik mundur mundur,4
70,Anda bertanggungjawab rusaknya kurikulum selama anda menjabat. Itulah hukuman Dunia untuk anda,anda bertanggungjawab rusaknya kurikulum selama anda menjabat itulah hukuman dunia untuk anda,bertanggungjawab rusak kurikulum lama jabat hukum dunia,7
71,Pray for justice,pray for justice,pray for justice,3
72,Hukum sudah gila,hukum sudah gila,hukum gila,2
73,Goo block banget penegak hukum nya,goo block banget penegak hukum nya,goo block tegak hukum,4
74,Bajingannya sdh pasti RAJA BUAL BUAL SANG PENIPU MULYONO CS😂😂😂,bajingannya sdh pasti raja bual bual sang penipu mulyono cs,bajing raja bual bual sang tipu mulyono,7
75,SANGAT ZHALIM/SANGAT JAHAT .,sangat zhalim sangat jahat,sangat zhalim sangat jahat,4
76,"Mas nadim itu orang cerdas, orang pinter...",mas nadim itu orang cerdas orang pinter,mas nadim orang cerdas orang pinter,6
77,Bebaskan Nadiem & adili Jokowi,bebaskan nadiem adili jokowi,bebas nadiem adil jokowi,4
78,Sabar ya Pa Nadim...,sabar ya pa nadim,sabar nadim,2
79,Korban dari si ono noh,korban dari si ono noh,korban ono noh,3
80,Bukan bela siapa siapa. Korupsi sekecil apapun pejabat semua ya sudah rakyat muak berita apapun.entah korupsi entah playing victim. Rakyat tetap bayar pajak dan tidak dapat apa apa😅,bukan bela siapa siapa korupsi sekecil apapun pejabat semua ya sudah rakyat muak berita apapun entah korupsi entah playing victim rakyat tetap bayar pajak dan tidak dapat apa apa,bukan bela siapa siapa korupsi kecil apa jabat semua rakyat muak berita apa entah korupsi entah playing victim rakyat tetap bayar pajak apa apa,24
81,Selama hakim msh manusia tidak menutup kemungkinan msh disetiri.,selama hakim msh manusia tidak menutup kemungkinan msh disetiri,lama hakim manusia tutup mungkin tiri,6
82,"Udah cocok jdi bos ojol.. Malah msuk politik,,",udah cocok jdi bos ojol malah msuk politik,udah cocok jadi bos ojol malah msuk politik,8
83,"Sayang Seribu Kali Sayang !!! 

 Orang Seperti Anda Terjebak Dalam Politik Munafik Yang Selalu Mengabaikan Etik Dan Moral Hingga Jadi Tumbal Praktek Politik Kotor Yang Rakus Oleh Para Tikus-Tikus !!!",sayang seribu kali sayang orang seperti anda terjebak dalam politik munafik yang selalu mengabaikan etik dan moral hingga jadi tumbal praktek politik kotor yang rakus oleh para tikus tikus,sayang ribu kali sayang orang jebak politik munafik selalu abai etik moral hingga jadi tumbal praktek politik kotor rakus tikus tikus,21
84,Tumbal kelicikan Mulyono,tumbal kelicikan mulyono,tumbal kelici mulyono,3
85,"Aneh ya  Pak , dosa apa Bapak ? KPK aneh,",aneh ya pak dosa apa bapak kpk aneh,aneh pak dosa apa bapak kpk aneh,7
86,Ya alloh serem  jadi  pegawai,ya alloh serem jadi pegawai,alloh rem jadi pegawai,4
87,"Ya bongkar lah semuaa
Masa sudah tersudut masih belum dibuka😅",ya bongkar lah semuaa masa sudah tersudut masih belum dibuka,bongkar lah semuaa masa sudut buka,6
88,"Kau kn Mentri 
Kasus besar GK mungkin hakim aneh2 zolim 
Kecuali Jokowi berkuasa",kau kn mentri kasus besar gk mungkin hakim aneh zolim kecuali jokowi berkuasa,kau tri kasus besar mungkin hakim aneh zolim jokowi kuasa,10
89,"Di jadiin kambing hitam oleh negara sendiri, sementara pelaku yg sebenar'a bebas berkeliaran merasakan uang itu ..
Sungguh mengerikan sekali",di jadiin kambing hitam oleh negara sendiri sementara pelaku yg sebenar a bebas berkeliaran merasakan uang itu sungguh mengerikan sekali,jadiin kambing hitam negara sendiri laku benar bebas liar rasa uang sungguh keri sekali,14
90,Konoha konoha,konoha konoha,konoha konoha,2
91,Ldbih bahagia mnnji pengusha sj,ldbih bahagia mnnji pengusha sj,ldbih bahagia mnnji pengusha,4
92,"Jika benar fakta ni , berat km di kambing hitamkan .",jika benar fakta ni berat km di kambing hitamkan,benar fakta berat kambing hitam,5
93,"akan ada ke ajaiban pa nadiem, tenang saja,rakyat indonesia udah tau ko,semangat merdeka",akan ada ke ajaiban pa nadiem tenang saja rakyat indonesia udah tau ko semangat merdeka,ajaib nadiem tenang rakyat indonesia udah tahu semangat merdeka,9
94,Semoga semua kena KARMA,semoga semua kena karma,moga semua kena karma,4
95,Makanya KLO Uda jd pengusaha jgn mau di iming iming JD menteri atau pejabat di negeri ini...di buat tumbal di masukin penjara...sadis negeri ini pejabat nya kebanyakan penjahat,makanya klo uda jd pengusaha jgn mau di iming iming jd menteri atau pejabat di negeri ini di buat tumbal di masukin penjara sadis negeri ini pejabat nya kebanyakan penjahat,makanya klo uda jadi usaha jgn mau iming iming jadi menteri jabat negeri buat tumbal masukin penjara sadis negeri jabat banyak jahat,22
96,Ngeri,ngeri,ngeri,1
97,Terima saja siapa suruh mw menjabat,terima saja siapa suruh mw menjabat,terima siapa suruh jabat,4
98,"Enak gak pak jadi Mentri dijaman raja ngibul??
😂😂
Ampir smua Mentri loh dijebak,,dikasih kebebasan,dan akhirnya...
Yaaa tau sendiri
😂😂😂",enak gak pak jadi mentri dijaman raja ngibul ampir smua mentri loh dijebak dikasih kebebasan dan akhirnya yaaa tau sendiri,enak pak jadi tri jam raja ngibul ampir smua tri loh jebak kasih bebas akhir yaa tahu sendiri,18
99,"Kolekan ayo, gocap pertama ni buat Nadiem🖐️",kolekan ayo gocap pertama ni buat nadiem,kolek ayo gocap pertama buat nadiem,6
100,"Tuhan Maha Tahu , Allah SWT tidak tidur bencana akan datang untuk para penjahat",tuhan maha tahu allah swt tidak tidur bencana akan datang untuk para penjahat,tuhan maha tahu allah swt tidur bencana datang jahat,9
101,"Tidak selayakny hakim disbut 'yang mulia' atau 'wakil tuhan', terlalu memuji profesi. lebih baik dipanggil pak / bu hakim saja.. apalgi pd negara yg sdg penegakan hukumny 'bobrok'... ataukah memang karakter bangsa ini sebenarny memang 'bobrok' ??!!!",tidak selayakny hakim disbut yang mulia atau wakil tuhan terlalu memuji profesi lebih baik dipanggil pak bu hakim saja apalgi pd negara yg sdg penegakan hukumny bobrok ataukah memang karakter bangsa ini sebenarny memang bobrok,selayakny hakim disbut mulia wakil tuhan terlalu puji profesi lebih baik panggil pak hakim apalgi negara sdg tega hukumny bobrok memang karakter bangsa sebenarny memang bobrok,26
102,jahat banget subhanallah,jahat banget subhanallah,jahat subhanallah,2
103,Kena jebakan dewanya termul2 ... Nadiem hrs menanggung risikonya,kena jebakan dewanya termul nadiem hrs menanggung risikonya,kena jebak dewa termul nadiem hrs tanggung risiko,8
104,"Yg membela korupsi otaknya dimana.
Orang korupsi kok klarifikasi,gk malu..",yg membela korupsi otaknya dimana orang korupsi kok klarifikasi gk malu,bela korupsi otak orang korupsi kok klarifikasi malu,8
105,kelihatan tampang yang bukan korupsi.... dari muka aja sudah bisa terbaca tak perlu bukti,kelihatan tampang yang bukan korupsi dari muka aja sudah bisa terbaca tak perlu bukti,lihat tampang bukan korupsi muka baca tak perlu bukti,9
106,Nadim jd tumbal,nadim jd tumbal,nadim jadi tumbal,3
107,LAKNATULLAH PARA PENGUASA & PARA PENGADILAN INDONESIA,laknatullah para penguasa para pengadilan indonesia,laknatullah kuasa adil indonesia,4
108,"Ingat para hakjm jgn membela yg salah, bsk anda  blom tau masih hidup, mulyono itu yg hrs di adili jg krn menjalankan perintah mulyono laknat itu.",ingat para hakjm jgn membela yg salah bsk anda blom tau masih hidup mulyono itu yg hrs di adili jg krn menjalankan perintah mulyono laknat itu,ingat hakjm jgn bela salah bsk blom tahu hidup mulyono hrs adil jalan perintah mulyono laknat,16
109,Ini Mentri lho.....   gimana Anda yang pengusaha kecil  atau pejabat rendah tingkat bupati ke bawah...  hahaha.. ngeri ya.,ini mentri lho gimana anda yang pengusaha kecil atau pejabat rendah tingkat bupati ke bawah hahaha ngeri ya,tri lho gimana usaha kecil jabat rendah tingkat bupati bawah ngeri,11
110,PEOPLE POWER !!!,people power,people power,2
