comment_id,komentar,normalized_text,clean_text,token_count,topic_id,topic_confidence,cluster_id,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob
11,"Gilaaaaaaaa😢😢😢😢😢, ya Allah azab orang-orang yg zholim",gilaaaaaaaa ya allah azab orang orang yg zholim,gilaa allah azab orang orang zholim,6,0,0.4769,35,0.4769,0.4769,0.0154,0.0154,0.0154
12,"NAMANYA JUGAK PERANG POLITIK,LAWAN POLITIK YANG LEBIH BERKUASA AKAN BISA MENEKAN LAWANNYA DENGAN MUDAH",namanya jugak perang politik lawan politik yang lebih berkuasa akan bisa menekan lawannya dengan mudah,nama jugak perang politik lawan politik lebih kuasa tekan lawan mudah,11,2,0.4824,45,0.1294,0.0118,0.4824,0.0118,0.3647
13,"pengadilan akhirat pasti ada, tunggu aja jokowi",pengadilan akhirat pasti ada tunggu aja jokowi,adil akhirat tunggu jokowi,4,0,0.6889,39,0.6889,0.0222,0.2444,0.0222,0.0222
14,"Minta sama Mak Banteng ,,karena bapak orang baik yang diperalat,,kuwalat orang2 yang memperalat bapak",minta sama mak banteng karena bapak orang baik yang diperalat kuwalat orang yang memperalat bapak,minta sama mak banteng bapak orang baik alat walat orang alat bapak,12,1,0.9579,36,0.0105,0.9579,0.0105,0.0105,0.0105
15,"Saya sebagai orang awam biasa berfikir sederhana begini ya ""mana mungkin orang yg punya aplikasi sebesar Gojek bisa korupsi milyaran. Pasti yg dibawah nya yg ngabisin Pak Nadiem yg kena getah nya😢",saya sebagai orang awam biasa berfikir sederhana begini ya mana mungkin orang yg punya aplikasi sebesar gojek bisa korupsi milyaran pasti yg dibawah nya yg ngabisin pak nadiem yg kena getah nya,orang awam biasa berfikir sederhana begini mana mungkin orang punya aplikasi besar gojek korupsi milyaran bawah ngabisin pak nadiem kena getah,21,0,0.4303,2,0.4303,0.2485,0.0667,0.1273,0.1273
16,Alloohu akbar ..... Tunjukkan keadilanMu di bumi negriku tercinta yaa Alloh,alloohu akbar tunjukkan keadilanmu di bumi negriku tercinta yaa alloh,alloohu akbar tunjuk adil bumi negriku cinta yaa alloh,9,0,0.4769,39,0.4769,0.0154,0.0154,0.0154,0.4769
17,"Knp harus korupsi pak ??

Ga mungkin deh pak kalau ga punya 809 M .. 
Omset bapa dr gojek aja sudah pastantis
Selama jadi mentri berapa T apbn di kelola pak yang di jadikan proyek , 

Dan g mungkin kontraktor tersebut bener bener 100 persen orang lain tidak ada sey hello dengan bapa",knp harus korupsi pak ga mungkin deh pak kalau ga punya m omset bapa dr gojek aja sudah pastantis selama jadi mentri berapa t apbn di kelola pak yang di jadikan proyek dan g mungkin kontraktor tersebut bener bener persen orang lain tidak ada sey hello dengan bapa,knp korupsi pak mungkin pak kalau punya omset bapa gojek pastantis lama jadi tri berapa apbn kelola pak jadi proyek mungkin kontraktor sebut bener bener persen orang sey hello bapa,30,4,0.3767,2,0.2837,0.1907,0.1442,0.0047,0.3767
18,Tangkap hakimnya,tangkap hakimnya,tangkap hakim,2,0,0.44,30,0.44,0.04,0.44,0.04,0.04
19,"Kirain akn lbih baik negara ini, mlah smkin hncur",kirain akn lbih baik negara ini mlah smkin hncur,kirain akn lbih baik negara mlah smkin hncur,8,1,0.3143,42,0.0286,0.3143,0.0286,0.3143,0.3143
20,"Semoga akhirnya spt nabi yusuf,dihukum krn bukan salah.",semoga akhirnya spt nabi yusuf dihukum krn bukan salah,moga akhir spt nabi yusuf hukum bukan salah,8,0,0.9385,25,0.9385,0.0154,0.0154,0.0154,0.0154
21,"Duit Anggaran pak Nadim harus tau , duitnya di pake apa atau di pake siapa klo tidak bisa menjelaskan ya repot pak",duit anggaran pak nadim harus tau duitnya di pake apa atau di pake siapa klo tidak bisa menjelaskan ya repot pak,duit anggar pak nadim tahu duit pake apa pake siapa klo jelas repot pak,14,4,0.7481,13,0.0074,0.0074,0.2296,0.0074,0.7481
22,Para HAKIM DZOLIM PASTI DILAKNAT ALLOH DIDUNIA DAN AKHIRAT ITU PASTI,para hakim dzolim pasti dilaknat alloh didunia dan akhirat itu pasti,hakim dzolim laknat alloh dunia akhirat,6,0,0.6308,21,0.6308,0.0154,0.0154,0.3231,0.0154
23,Lalu bagaimana kabar Dadang sekarang,lalu bagaimana kabar dadang sekarang,lalu bagaimana kabar dadang sekarang,5,4,0.9273,1,0.0182,0.0182,0.0182,0.0182,0.9273
24,Lalu bagaimana kabar Dadang sekarang,lalu bagaimana kabar dadang sekarang,lalu bagaimana kabar dadang sekarang,5,4,0.9273,1,0.0182,0.0182,0.0182,0.0182,0.9273
25,Kasian deh 😂😅😅,kasian deh,kasi,1,4,0.7333,45,0.0667,0.0667,0.0667,0.0667,0.7333
26,saya yakin bpk nadim itu difitnah,saya yakin bpk nadim itu difitnah,yakin bapak nadim fitnah,4,1,0.9111,45,0.0222,0.9111,0.0222,0.0222,0.0222
27,Yuk rakyat bangunnnn,yuk rakyat bangunnnn,yuk rakyat bangunn,3,1,0.7333,27,0.0667,0.7333,0.0667,0.0667,0.0667
28,Makannya jangan korupsi bang,makannya jangan korupsi bang,makan jangan korupsi bang,4,1,0.6889,20,0.0222,0.6889,0.0222,0.0222,0.2444
29,"Jgn terlalu prcya dgn omongan orang ini,toh persidangan terbukti transaksi melalui anak usaha Google melalui Inventasi",jgn terlalu prcya dgn omongan orang ini toh persidangan terbukti transaksi melalui anak usaha google melalui inventasi,jgn terlalu prcya omong orang sidang bukti transaksi lalu anak usaha google lalu inventasi,14,1,0.4857,1,0.2952,0.4857,0.0095,0.0095,0.2
30,"Korban keganasan Jokowi..., Yaqut nyebut Jokowi, dan banyak koruptor yg tertangkap mentangkutkn Jokowi tapi K Oooo K tidak punya nyali nangkap Jokowi",korban keganasan jokowi yaqut nyebut jokowi dan banyak koruptor yg tertangkap mentangkutkn jokowi tapi k oooo k tidak punya nyali nangkap jokowi,korban ganas jokowi yaqut nyebut jokowi banyak koruptor tangkap mentangkutkn jokowi punya nyali nangkap jokowi,15,2,0.7714,22,0.0095,0.1048,0.7714,0.1048,0.0095
31,Dijadikan menteri ternyata menjadi suatu musibah..,dijadikan menteri ternyata menjadi suatu musibah,jadi menteri nyata jadi suatu musibah,6,4,0.6308,43,0.0154,0.0154,0.0154,0.3231,0.6308
32,Ini pasti sudah akal2lan jokowi dan wowo semua ini kalau orang benar trus pasti akan di singkirkan mereka takut nanti buat manen hasil2 besar takut ada yg ngintip dari belakng,ini pasti sudah akal lan jokowi dan wowo semua ini kalau orang benar trus pasti akan di singkirkan mereka takut nanti buat manen hasil besar takut ada yg ngintip dari belakng,akal lan jokowi wowo semua kalau orang benar trus singkir takut buat manen hasil besar takut ngintip belakng,18,1,0.4519,32,0.3778,0.4519,0.1556,0.0074,0.0074
33,Baklawi gembong korupsi,baklawi gembong korupsi,baklawi gembong korupsi,3,2,0.7333,31,0.0667,0.0667,0.7333,0.0667,0.0667
34,"Semua yang terlibat membuat sekenario menjijikkan ini, beserta seluruh keluarganya akan mendapatkan azab yang lebih menyedihkan dari Allah SWT. Aamiin.",semua yang terlibat membuat sekenario menjijikkan ini beserta seluruh keluarganya akan mendapatkan azab yang lebih menyedihkan dari allah swt aamiin,semua libat buat sekenario jijik seluruh keluarga azab lebih sedih allah swt aamiin,13,2,0.6174,34,0.2696,0.0087,0.6174,0.0957,0.0087
35,Ngeri dengan hukum di indonesia,ngeri dengan hukum di indonesia,ngeri hukum indonesia,3,3,0.8857,5,0.0286,0.0286,0.0286,0.8857,0.0286
36,"Sabar pak,dunia hanya sesaat di akhirat bpk bisa menuntut balik karena keadilan akhirat itu pasti",sabar pak dunia hanya sesaat di akhirat bpk bisa menuntut balik karena keadilan akhirat itu pasti,sabar pak dunia akhirat bapak tuntut balik adil akhirat,9,0,0.9579,21,0.9579,0.0105,0.0105,0.0105,0.0105
37,Kasihan Nadiem..dia korban dari Jokowi..kesalahan Nadiem kenapa dia mau menjadi menteri..,kasihan nadiem dia korban dari jokowi kesalahan nadiem kenapa dia mau menjadi menteri,kasihan nadiem korban jokowi salah nadiem mau jadi menteri,9,4,0.9579,4,0.0105,0.0105,0.0105,0.0105,0.9579
38,"Semua orang muslim yg ada di muka bumi ini percaya dan meyakini ada waktu pembalasan yg sangat adil dan rinci di mana tidak akan bisa di tutupi walau hanya sebutir pasir besarnya,ada waktunya hari pembalasan di mana mahluk yg di zdolimi akan menjadi saksi sari ujung rambut hingga ujung kaki kecuali mulut akan allah tutup dan percayalah hari pembalasan akan pasti tiba untuk mempertanggung jawabkan dalam qta berada di dunia dari awal qta lahir sampai menutup usia. . .
Allah SWT akan adil dan akan slalu adil maha suci allah dengan segala firmannya",semua orang muslim yg ada di muka bumi ini percaya dan meyakini ada waktu pembalasan yg sangat adil dan rinci di mana tidak akan bisa di tutupi walau hanya sebutir pasir besarnya ada waktunya hari pembalasan di mana mahluk yg di zdolimi akan menjadi saksi sari ujung rambut hingga ujung kaki kecuali mulut akan allah tutup dan percayalah hari pembalasan akan pasti tiba untuk mempertanggung jawabkan dalam qta berada di dunia dari awal qta lahir sampai menutup usia allah swt akan adil dan akan slalu adil maha suci allah dengan segala firmannya,semua orang muslim muka bumi percaya yakin waktu balas sangat adil rinci mana tutup butir pasir besar waktu hari balas mana mahluk zdolimi jadi saksi sari ujung rambut hingga ujung kaki mulut allah tutup percaya hari balas tiba tanggung jawab qta dunia awal qta lahir tutup usia allah swt adil slalu adil maha suci allah segala firman,57,0,0.9218,18,0.9218,0.0253,0.0023,0.0483,0.0023
39,"Hukum buatan manusia tak mungkin melahirkan keadilan. Terapkan hukum buatan Allah, buahkan maslahat bg umat manusia",hukum buatan manusia tak mungkin melahirkan keadilan terapkan hukum buatan allah buahkan maslahat bg umat manusia,hukum buat manusia tak mungkin lahir adil terap hukum buat allah buah maslahat umat manusia,15,0,0.808,35,0.808,0.008,0.008,0.088,0.088
40,"Kita punya Tuhan Pak, berdoa saja. Jika Bapak memang tak bersalah, siapapun yang menjerat Bapak tak akan lepas dari pengadilan Tuhan. Percayalah Pak, jika kita baik dan tak salah, Tuhan juga tak akan melepaskan siapapun yang menjahati orang baik dengan sengaja. Semua  manusia akan mati pada waktunya, akan ada pertanggung jawaban akhirat yang tak akan selesai walaupun tiap hari mereka minta ampun siang malam. Karena siapapun  yang  sengaja menjerat orang  baik yang tak bersalah, mereka sesungguhnya sedang mempermainkan Tuhan. Yang sabar ya Pak, tetaplah yakin dan berdoa, Tuhan akan memuaskanmu dengan keadilanNya pada waktuNya.",kita punya tuhan pak berdoa saja jika bapak memang tak bersalah siapapun yang menjerat bapak tak akan lepas dari pengadilan tuhan percayalah pak jika kita baik dan tak salah tuhan juga tak akan melepaskan siapapun yang menjahati orang baik dengan sengaja semua manusia akan mati pada waktunya akan ada pertanggung jawaban akhirat yang tak akan selesai walaupun tiap hari mereka minta ampun siang malam karena siapapun yang sengaja menjerat orang baik yang tak bersalah mereka sesungguhnya sedang mempermainkan tuhan yang sabar ya pak tetaplah yakin dan berdoa tuhan akan memuaskanmu dengan keadilannya pada waktunya,punya tuhan pak doa bapak memang tak salah siapa jerat bapak tak lepas adil tuhan percaya pak baik tak salah tuhan tak lepas siapa jahat orang baik sengaja semua manusia mati waktu tanggung jawab akhirat tak selesai walaupun tiap hari minta ampun siang malam siapa sengaja jerat orang baik tak salah sungguh sedang main tuhan sabar pak tetap yakin doa tuhan muas adil waktu,64,0,0.7322,2,0.7322,0.2452,0.0017,0.0191,0.0017
41,Ya Allah,ya allah,allah,1,0,0.7333,35,0.7333,0.0667,0.0667,0.0667,0.0667
42,Baru tau kan lu Jokowi itu tukang ngibul😂,baru tau kan lu jokowi itu tukang ngibul,baru tahu kan jokowi tukang ngibul,6,1,0.3231,41,0.0154,0.3231,0.3231,0.0154,0.3231
43,"Hakim zolim sabar ya pak nadim allah bersama bpk nadim, insaallah pak nadim akan bebas.",hakim zolim sabar ya pak nadim allah bersama bpk nadim insaallah pak nadim akan bebas,hakim zolim sabar pak nadim allah sama bapak nadim insaallah pak nadim bebas,13,1,0.568,15,0.408,0.568,0.008,0.008,0.008
44,"Makanya pak seharusnya anda jgn jadi pejabat yg jujur . Akhirnya gimana kan??
Anda dijadikan kambing hitam pak
Sungguh ironi",makanya pak seharusnya anda jgn jadi pejabat yg jujur akhirnya gimana kan anda dijadikan kambing hitam pak sungguh ironi,makanya pak jgn jadi jabat jujur akhir gimana kan jadi kambing hitam pak sungguh ironi,15,4,0.5586,6,0.4207,0.0069,0.0069,0.0069,0.5586
45,Ngapain jadi pejabat mending tolak klw ujung nya menyakitkan,ngapain jadi pejabat mending tolak klw ujung nya menyakitkan,ngapain jadi jabat mending tolak klw ujung sakit,8,4,0.8133,7,0.0133,0.1467,0.0133,0.0133,0.8133
46,Hukum sdh mandul tinggal rakyat yg menegakkan hukum,hukum sdh mandul tinggal rakyat yg menegakkan hukum,hukum mandul tinggal rakyat tegak hukum,6,3,0.9273,27,0.0182,0.0182,0.0182,0.9273,0.0182
47,Sungguh mengerikan hukum dinegri ini. Smg jaksa dan hakimnya dapat karma.,sungguh mengerikan hukum dinegri ini smg jaksa dan hakimnya dapat karma,sungguh keri hukum dinegri smg jaksa hakim karma,8,0,0.9385,30,0.9385,0.0154,0.0154,0.0154,0.0154
48,"Orang pintar, punya niat Ingin merubah dan memperbaiki negri ini!
 Lebih baik skip aja dah! Percuma! Negara udah bobrok! Rakyat di paksa bodoh! Hasilnya yg punya niat baik bakalan di bungkam! Penjara atau MATI! Cuma itu pilihanya!",orang pintar punya niat ingin merubah dan memperbaiki negri ini lebih baik skip aja dah percuma negara udah bobrok rakyat di paksa bodoh hasilnya yg punya niat baik bakalan di bungkam penjara atau mati cuma itu pilihanya,orang pintar punya niat rubah baik negri lebih baik skip dah percuma negara udah bobrok rakyat paksa bodoh hasil punya niat baik bakal bungkam penjara mati cuma pilihanya,28,1,0.6205,17,0.0051,0.6205,0.0051,0.2615,0.1077
49,Korban jokowi,korban jokowi,korban jokowi,2,2,0.84,23,0.04,0.04,0.84,0.04,0.04
50,"Jgn nangis dong.. Kenape lo mau aje jd mentri.. Ga mikir panjang sih lu,,.",jgn nangis dong kenape lo mau aje jd mentri ga mikir panjang sih lu,jgn nang kenape mau aje jadi tri mikir panjang,9,4,0.7455,43,0.2,0.0182,0.0182,0.0182,0.7455
51,Uang negara yang hilang bukan dikorupsi sama Pak Nadiem tetapi sama tuyul dan genderuwo 💀,uang negara yang hilang bukan dikorupsi sama pak nadiem tetapi sama tuyul dan genderuwo,uang negara hilang bukan korupsi sama pak nadiem sama tuyul genderuwo,11,1,0.3905,29,0.2952,0.3905,0.0095,0.2952,0.0095
52,Haqul Yaqin Allah pasti menolong mu pak Nadiem 🤲🤲🤲,haqul yaqin allah pasti menolong mu pak nadiem,haqul yaqin allah pak nadiem,5,0,0.8857,35,0.8857,0.0286,0.0286,0.0286,0.0286
53,"mas nadiem daya yakin tidak korupsi, hanya sial aja  ngasih spek laptopnya harus pakai chroom book. ini kan masalah yang membuat kompetitor murka. dan kompetitor ini kalau cuman 100 m per jaksa atau hakim itu kecil. itulah resiko",mas nadiem daya yakin tidak korupsi hanya sial aja ngasih spek laptopnya harus pakai chroom book ini kan masalah yang membuat kompetitor murka dan kompetitor ini kalau cuman m per jaksa atau hakim itu kecil itulah resiko,mas nadiem daya yakin korupsi sial ngasih spek laptop pakai chroom book kan masalah buat kompetitor murka kompetitor kalau cuman per jaksa hakim kecil resiko,25,1,0.4897,30,0.3517,0.4897,0.0069,0.1448,0.0069
54,"carut marut, siap"" skenario selanjutnya",carut marut siap skenario selanjutnya,carut marut siap skenario lanjut,5,4,0.7333,45,0.0667,0.0667,0.0667,0.0667,0.7333
55,"Yg nyuruh, sijack plh gk pernah diperiksa",yg nyuruh sijack plh gk pernah diperiksa,nyuruh sijack plh pernah periksa,5,1,0.84,45,0.04,0.84,0.04,0.04,0.04
56,Mulyono dan keluarganya pasti senyam senyum.... 11 ribu T gitu loh....😅,mulyono dan keluarganya pasti senyam senyum ribu t gitu loh,mulyono keluarga senyam senyum ribu gitu loh,7,2,0.6308,24,0.0154,0.0154,0.6308,0.0154,0.3231
57,"Nadiem bukan orang politik, tapi beliau mau menerima tawaran Mentri, mau tidak mau beliau ada dalam lingkaran politik, begitulah pola politik negeri konoha",nadiem bukan orang politik tapi beliau mau menerima tawaran mentri mau tidak mau beliau ada dalam lingkaran politik begitulah pola politik negeri konoha,nadiem bukan orang politik beliau mau terima tawar tri mau mau beliau lingkar politik pola politik negeri konoha,18,4,0.7333,8,0.0061,0.2485,0.0061,0.0061,0.7333
58,Seharusnya mulyono jokowi yg di vonis penjara karena ulah dia semua biang kerok permasalahan di negeri ini,seharusnya mulyono jokowi yg di vonis penjara karena ulah dia semua biang kerok permasalahan di negeri ini,mulyono jokowi vonis penjara ulah semua biang kerok masalah negeri,10,2,0.7714,14,0.1048,0.0095,0.7714,0.0095,0.1048
59,"Semangat pak Nadin, semoga hukum Tuhan  akan menghukum siapa pun yg zolim",semangat pak nadin semoga hukum tuhan akan menghukum siapa pun yg zolim,semangat pak nadin moga hukum tuhan hukum siapa zolim,9,0,0.7474,15,0.7474,0.0105,0.0105,0.2211,0.0105
60,"Rp,809 miliar Banyak Banget, pak",rp miliar banyak banget pak,miliar banyak pak,3,0,0.3143,22,0.3143,0.3143,0.3143,0.0286,0.0286
61,"Sedangkan yg memberikan arah kebijakan msih brkeliaran main raja""an..KNPA GK di seret ke pengadilan utk di mintak kterangan KLO bisa di skalian di vonis",sedangkan yg memberikan arah kebijakan msih brkeliaran main raja an knpa gk di seret ke pengadilan utk di mintak kterangan klo bisa di skalian di vonis,beri arah bijak msih brkeliaran main raja knpa seret adil mintak kterangan klo skalian vonis,15,2,0.4824,13,0.2471,0.1294,0.4824,0.0118,0.1294
62,"Kasus nya makarim apa ? 

INDOSURYA YANG MERAMPOK UANG KORBAN 16,3 triliun dan serara keseluruhan dari 23 ribu nasabahnya total 106 triliun. 

Tapj Mahkamah Agung menjatuhkan vonis 18 tahun penjara dan denda hanya Rp15 miliar kepada pimpinan Koperasi Simpan Pinjam (KSP) Indosurya, Henry Surya, yang diduga merugikan 23 ribu orang, dengan total kerugian disebut mencapai Rp106 triliun


Dan saat ini uang dan aset yg masih ada blm jelas kapan akan di kembalikan kepada para korban.",kasus nya makarim apa indosurya yang merampok uang korban triliun dan serara keseluruhan dari ribu nasabahnya total triliun tapj mahkamah agung menjatuhkan vonis tahun penjara dan denda hanya rp miliar kepada pimpinan koperasi simpan pinjam ksp indosurya henry surya yang diduga merugikan ribu orang dengan total kerugian disebut mencapai rp triliun dan saat ini uang dan aset yg masih ada blm jelas kapan akan di kembalikan kepada para korban,kasus makarim apa indosurya rampok uang korban triliun serara seluruh ribu nasabah total triliun tapj mahkamah agung jatuh vonis tahun penjara denda miliar pimpin koperasi simpan pinjam ksp indosurya henry surya duga rugi ribu orang total rugi sebut capai triliun uang aset blm jelas kapan korban,46,2,0.9262,14,0.0646,0.0031,0.9262,0.0031,0.0031
63,Ngeri bro... Menanti nepalisasi Konoha... Cepat atau lambat...,ngeri bro menanti nepalisasi konoha cepat atau lambat,ngeri bro nepalisasi konoha cepat lambat,6,3,0.6889,5,0.2444,0.0222,0.0222,0.6889,0.0222
64,"Drama aja, lantas kalau tidak keluar dari pt akap goto lalu darimana keluarnya? Dan gmn caranya itu bisa menyentuh, dapatkan dan terima sama Nadiem?",drama aja lantas kalau tidak keluar dari pt akap goto lalu darimana keluarnya dan gmn caranya itu bisa menyentuh dapatkan dan terima sama nadiem,drama lantas kalau keluar akap goto lalu darimana keluar gmn cara sentuh terima sama nadiem,15,1,0.808,1,0.008,0.808,0.088,0.008,0.088
65,Jadi tumbal Jokowi 😂,jadi tumbal jokowi,jadi tumbal jokowi,3,4,0.6,41,0.0286,0.0286,0.3143,0.0286,0.6
66,Uang.nya kemana bang???,uang nya kemana bang,uang bang,2,3,0.44,29,0.04,0.04,0.04,0.44,0.44
67,tuntut harus berat biar kapok koruptor😂😂,tuntut harus berat biar kapok koruptor,tuntut berat biar kapok koruptor,5,0,0.5636,26,0.5636,0.0182,0.2,0.2,0.0182
68,"Begitu besar jasa Nadiem untuk Pendidikan Indonesia...itu jelas , tidak bisa dipungkiri... semoga hukum bicara lebih baik lebih adil.
Nadiem... semoga Allah SWT selalu melindungi & menolongmu.",begitu besar jasa nadiem untuk pendidikan indonesia itu jelas tidak bisa dipungkiri semoga hukum bicara lebih baik lebih adil nadiem semoga allah swt selalu melindungi menolongmu,besar jasa nadiem didik indonesia jelas dipungkiri moga hukum bicara lebih baik lebih adil nadiem moga allah swt selalu lindung,20,0,0.4667,3,0.4667,0.1077,0.2615,0.159,0.0051
69,Di era anda pendidikan mundur se mundur2nya.,di era anda pendidikan mundur se mundur nya,era didik mundur mundur,4,3,0.8857,3,0.0286,0.0286,0.0286,0.8857,0.0286
70,Anda bertanggungjawab rusaknya kurikulum selama anda menjabat. Itulah hukuman Dunia untuk anda,anda bertanggungjawab rusaknya kurikulum selama anda menjabat itulah hukuman dunia untuk anda,bertanggungjawab rusak kurikulum lama jabat hukum dunia,7,3,0.6308,21,0.1692,0.0154,0.0154,0.6308,0.1692
71,Pray for justice,pray for justice,pray for justice,3,4,0.7333,45,0.0667,0.0667,0.0667,0.0667,0.7333
72,Hukum sudah gila,hukum sudah gila,hukum gila,2,3,0.84,11,0.04,0.04,0.04,0.84,0.04
73,Goo block banget penegak hukum nya,goo block banget penegak hukum nya,goo block tegak hukum,4,3,0.84,38,0.04,0.04,0.04,0.84,0.04
74,Bajingannya sdh pasti RAJA BUAL BUAL SANG PENIPU MULYONO CS😂😂😂,bajingannya sdh pasti raja bual bual sang penipu mulyono cs,bajing raja bual bual sang tipu mulyono,7,4,0.9273,24,0.0182,0.0182,0.0182,0.0182,0.9273
75,SANGAT ZHALIM/SANGAT JAHAT .,sangat zhalim sangat jahat,sangat zhalim sangat jahat,4,3,0.8857,12,0.0286,0.0286,0.0286,0.8857,0.0286
76,"Mas nadim itu orang cerdas, orang pinter...",mas nadim itu orang cerdas orang pinter,mas nadim orang cerdas orang pinter,6,1,0.6308,37,0.0154,0.6308,0.0154,0.0154,0.3231
77,Bebaskan Nadiem & adili Jokowi,bebaskan nadiem adili jokowi,bebas nadiem adil jokowi,4,4,0.4667,39,0.2444,0.2444,0.0222,0.0222,0.4667
78,Sabar ya Pa Nadim...,sabar ya pa nadim,sabar nadim,2,1,0.84,45,0.04,0.84,0.04,0.04,0.04
79,Korban dari si ono noh,korban dari si ono noh,korban ono noh,3,4,0.7333,23,0.0667,0.0667,0.0667,0.0667,0.7333
80,Bukan bela siapa siapa. Korupsi sekecil apapun pejabat semua ya sudah rakyat muak berita apapun.entah korupsi entah playing victim. Rakyat tetap bayar pajak dan tidak dapat apa apa😅,bukan bela siapa siapa korupsi sekecil apapun pejabat semua ya sudah rakyat muak berita apapun entah korupsi entah playing victim rakyat tetap bayar pajak dan tidak dapat apa apa,bukan bela siapa siapa korupsi kecil apa jabat semua rakyat muak berita apa entah korupsi entah playing victim rakyat tetap bayar pajak apa apa,24,2,0.4919,27,0.1676,0.1135,0.4919,0.2216,0.0054
81,Selama hakim msh manusia tidak menutup kemungkinan msh disetiri.,selama hakim msh manusia tidak menutup kemungkinan msh disetiri,lama hakim manusia tutup mungkin tiri,6,0,0.9273,30,0.9273,0.0182,0.0182,0.0182,0.0182
82,"Udah cocok jdi bos ojol.. Malah msuk politik,,",udah cocok jdi bos ojol malah msuk politik,udah cocok jadi bos ojol malah msuk politik,8,4,0.5467,43,0.0133,0.4133,0.0133,0.0133,0.5467
83,"Sayang Seribu Kali Sayang !!! 

 Orang Seperti Anda Terjebak Dalam Politik Munafik Yang Selalu Mengabaikan Etik Dan Moral Hingga Jadi Tumbal Praktek Politik Kotor Yang Rakus Oleh Para Tikus-Tikus !!!",sayang seribu kali sayang orang seperti anda terjebak dalam politik munafik yang selalu mengabaikan etik dan moral hingga jadi tumbal praktek politik kotor yang rakus oleh para tikus tikus,sayang ribu kali sayang orang jebak politik munafik selalu abai etik moral hingga jadi tumbal praktek politik kotor rakus tikus tikus,21,4,0.4897,37,0.2138,0.1448,0.1448,0.0069,0.4897
84,Tumbal kelicikan Mulyono,tumbal kelicikan mulyono,tumbal kelici mulyono,3,4,0.8857,24,0.0286,0.0286,0.0286,0.0286,0.8857
85,"Aneh ya  Pak , dosa apa Bapak ? KPK aneh,",aneh ya pak dosa apa bapak kpk aneh,aneh pak dosa apa bapak kpk aneh,7,2,0.8133,44,0.0133,0.1467,0.8133,0.0133,0.0133
86,Ya alloh serem  jadi  pegawai,ya alloh serem jadi pegawai,alloh rem jadi pegawai,4,4,0.8857,43,0.0286,0.0286,0.0286,0.0286,0.8857
